make,model,version,gear_type,fuel_type,power,kms,registration,price,is_prediction,rep_id,price_base,status,damages,diagnostico_dmgs
425,694,3458,3,1,128,17222,06/2014,12599,False,1,12599,tasado,,perfecto
670,1127,6159,3,1,150,78068,07/2018,17299,False,1,17299,tasado,,perfecto
190,277,1551,3,1,100,94982,10/2016,9399,False,1,9399,tasado,,perfecto
790,1235,6913,3,2,116,7628,03/2025,22999,False,1,22999,tasado,,perfecto
830,1320,7273,1,2,83,30872,09/2023,16999,False,1,16999,tasado,,perfecto
550,839,4055,3,2,186,19223,09/2023,25999,False,1,25999,tasado,,perfecto
590,962,5192,3,2,117,74638,11/2018,14699,False,1,14699,tasado,,perfecto
60,101,600,2,1,150,101919,08/2022,29299,False,1,29299,tasado,,perfecto
190,284,1611,1,1,180,157941,11/2019,15599,False,1,15599,tasado,,perfecto
570,876,4289,1,1,150,71180,07/2020,24899,False,1,24899,tasado,,perfecto
670,1126,6138,1,2,110,98054,10/2018,11899,False,1,11899,tasado,,perfecto
670,1106,5981,3,1,100,75623,06/2016,10299,False,1,10299,tasado,,perfecto
550,853,4130,3,2,186,35005,05/2022,23999,False,1,23999,tasado,,perfecto
670,1111,6015,3,1,130,40076,12/2019,13599,False,1,13599,tasado,,perfecto
345,626,3123,1,3,265,33086,04/2024,32299,False,1,32299,tasado,,perfecto
285,525,2677,3,2,155,121293,04/2020,15999,False,1,15999,tasado,,perfecto
190,275,1529,1,1,130,72522,11/2020,15299,False,1,15299,tasado,,perfecto
345,615,3076,1,3,141,66525,05/2021,19399,False,1,19399,tasado,,perfecto
20,2,3,3,2,145,38445,03/2018,15999,False,1,15999,tasado,,perfecto
425,727,3590,3,2,85,21155,10/2018,13199,False,1,13199,tasado,,perfecto
720,1175,6456,3,2,91,6970,10/2025,16999,False,1,16999,tasado,,perfecto
130,176,1161,1,3,292,121856,08/2021,27999,False,1,27999,tasado,,perfecto
285,536,2760,3,2,100,65739,10/2019,14799,False,1,14799,tasado,,perfecto
194,350,1916,3,2,110,11861,07/2024,18399,False,1,18399,tasado,,perfecto
280,454,2177,3,1,120,71701,08/2018,12499,False,1,12499,tasado,,perfecto
194,341,1842,3,1,95,107370,09/2019,13799,False,1,13799,tasado,,perfecto
380,659,3272,1,1,180,64131,08/2018,16299,False,1,16299,tasado,,perfecto
345,615,3076,1,3,141,81659,06/2021,18299,False,1,18299,tasado,,perfecto
190,277,1548,1,2,110,87434,06/2018,10999,False,1,10999,tasado,,perfecto
670,1126,6138,1,2,110,38474,07/2018,11799,False,1,11799,tasado,,perfecto
670,1106,5981,3,1,100,108200,03/2017,9999,False,1,9999,tasado,,perfecto
