make,model,version,months_old,power,sale_type,gear_type,fuel_type,kms,price,is_prediction,rep_id
Porsche,Macan,S Diesel Aut.,45.0,190.0,used,automatic,diesel,119000.0,49999,0,1
Bentley,Continental,Gt Coupe 560 Cv,164.0,411.0,used,automatic,gasoline,98000.0,49999,0,1
Bentley,Continental,Gt,154.0,412.0,used,automatic,gasoline,95000.0,49999,0,1
Bmw,X5,Xdrive40D Automatico Paquete M Completo,45.0,230.0,used,automatic,diesel,90000.0,49999,0,1
Audi,A7,Competition 3.0 Tdi Quattro S-Line 326 Cv Biturbo,35.0,240.0,used,automatic,diesel,49715.0,49999,0,1
Mercedes-Benz,E350,Cdi Cabrio Amg 258 Cv,42.0,190.0,used,automatic,diesel,35000.0,49999,0,1
Audi,Q7,3.0Tdi Quattro Tiptronic 272,29.0,200.0,used,automatic,diesel,50087.0,49995,0,1
Mitsubishi,Montero,Io 1.8 Gdi Kaiteki,217.0,88.0,used,manual,gasoline,180000.0,49990,0,1
Land,RoverRangeRoverSport,3.0Tdv6 Hse Aut. Financiaci�n 100%,50.0,190.0,used,automatic,diesel,130000.0,49990,0,1
Porsche,Cayenne,S Aut.,70.0,294.0,used,automatic,gasoline,114161.0,49990,0,1
Mercedes-Benz,Sprinter,Combi 319Cdi Compacto Aut.,76.0,140.0,used,automatic,diesel,111000.0,49990,0,1
Porsche,911,Carrera 4S Coup�,144.0,261.0,used,manual,gasoline,102000.0,49990,0,1
Bmw,X5,Xdrive 40Da Pack M - Impecable - Iva Deducible,38.0,230.0,used,automatic,diesel,99000.0,49990,0,1
Bmw,X5,Xdrive 30Da Pack M 258Cv - M Sport - 20'' - Xenon,38.0,190.0,used,automatic,diesel,89000.0,49990,0,1
Bmw,X5,Xdrive 30Da Pack M,29.0,190.0,used,automatic,diesel,72000.0,49990,0,1
Bmw,X5,Xdrive 30Da Sport Edition 7 Plz,38.0,190.0,used,automatic,diesel,67287.0,49990,0,1
Bmw,X6,Xdrive 30Da,57.0,222.0,used,automatic,diesel,65000.0,49990,0,1
Mercedes-Benz,E220,D Coupe 143 Kw (194 Cv),11.0,143.0,used,automatic,diesel,36000.0,49990,0,1
