id,nombre,id_marca
1,124 Spider,20
2,500,20
3,500e,20
4,500e Cabrio,20
5,595,20
6,595C,20
7,600e,20
8,695,20
9,695C,20
10,Grande Punto,20
11,Punto,20
12,Ritmo,20
13,Stilo,20
14,U5,32
15,U6,32
16,City Emotion,35
17,Coupe Emotion,35
18,Crossline Emotion,35
19,Crossover,35
20,Crossover Emotion,35
21,Sensation,35
22,4C,40
23,4C Spider,40
24,8C Competizione,40
25,6,40
26,33,40
27,Alfa 75,40
28,90,40
29,145,40
30,146,40
31,147,40
32,155,40
33,156,40
34,159,40
35,164,40
36,166,40
37,Brera,40
38,GT,40
39,GTV,40
40,Alfa Spider,40
41,Alfetta GTV,40
42,Giulia,40
43,Giulietta,40
44,Junior,40
45,MiTo,40
46,Stelvio,40
47,Tonale,40
48,B3,42
49,BMW Alpina B4,42
50,B5,42
51,B6,42
52,B6 Gran Coupe,42
53,B7,42
54,BMW Alpina D3,42
55,D4,42
56,BMW Alpina D5,42
57,XD3,42
58,XD4,42
59,A110,43
60,A290,43
61,DB 5,57
62,DB 7,57
63,DB 9,57
64,DB 10,57
65,DBS,57
66,Rapide,57
67,V8,57
68,V8 Vantage,57
69,Vanquish,57
70,50,60
71,80,60
72,90,60
73,100,60
74,200,60
75,A1,60
76,A1 allstreet,60
77,A1 citycarver,60
78,A1 Sportback,60
79,A2,60
80,A3,60
81,A3 allstreet,60
82,A3 Limousine,60
83,A3 Sportback,60
84,A4,60
85,A4 Allroad,60
86,A5,60
87,A5 Sportback,60
88,A6,60
89,A6 Allroad,60
90,A6 e-tron,60
91,A6 Sportback e-tron,60
92,A7 Sportback,60
93,A8,60
94,Allroad Quattro,60
95,Cabriolet,60
96,Coupe,60
97,e-tron,60
98,e-tron GT,60
99,e-tron Sportback,60
100,Q2,60
101,Q3,60
102,Q3 Sportback,60
103,Q4,60
104,Q4 Sportback,60
105,Q5,60
106,Q5 Sportback,60
107,Q6,60
108,Q6 Sportback,60
109,Q7,60
110,Q8,60
111,Q8 Sportback,60
112,Quattro,60
113,R8,60
114,RS 2,60
115,RS 3,60
116,RS 3 Sportback,60
117,RS 4,60
118,RS 5,60
119,RS 5 Sportback,60
120,RS 6,60
121,RS 7 Sportback,60
122,RS Q3,60
123,RS Q3 Sportback,60
124,RS Q8,60
125,S1,60
126,S1 Sportback,60
127,S2,60
128,S3,60
129,S3 Sportback,60
130,S4,60
131,S5,60
132,S5 Sportback,60
133,S6,60
134,S6 e-tron,60
135,S6 Sportback e-tron,60
136,S7 Sportback,60
137,S8,60
138,SQ2,60
139,SQ5,60
140,SQ5 Sportback,60
141,SQ6,60
142,SQ7,60
143,SQ8,60
144,SQ8 Sportback,60
145,TT,60
146,TT RS,60
147,TTS,60
148,V8,60
149,B 1000-1,95
150,N,95
151,Bellier,104
152,Arnage,107
153,Azure,107
154,Continental Flying Spur,107
155,Continental GT,107
156,Continental GTC,107
157,Serie 1,130
158,Serie 2,130
159,Serie 3,130
160,Serie 4,130
161,Serie 5,130
162,Serie 6,130
163,Serie 7,130
164,Serie 8,130
165,i3,130
166,i4,130
167,i5,130
168,i7,130
169,i8,130
170,iX,130
171,iX1,130
172,iX2,130
173,iX3,130
174,X1,130
175,X2,130
176,X3,130
177,X4,130
178,X5,130
179,X6,130
180,X7,130
181,XM,130
182,Z1,130
183,Z3,130
184,Z4,130
185,Z8,130
186,BX7,125
187,BS4,145
188,BS6,145
189,Park Avenue,141
190,Atto 2,147
191,Atto 3,147
192,Dolphin,147
193,Dolphin Surf,147
194,ETP 3,147
195,Han,147
196,Seal,147
197,Seal 6 DM-i,147
198,Seal U,147
199,Sealion 7,147
200,Tang,147
201,ATS,150
202,BLS,150
203,CT6,150
204,CTS,150
205,CTS Wagon,150
206,Eldorado,150
207,Escalade,150
208,Lyriq,150
209,Optiq,150
210,Seville,150
211,SRX,150
212,STS,150
213,Vistiq,150
214,XLR,150
215,XT4,150
216,XT5,150
217,M20,158
218,Super Seven,157
219,Deepal S05,811
220,Deepal S07,811
221,CH 40,162
222,Alero,160
223,Astro Van,160
224,Aveo,160
225,Blazer,160
226,Camaro,160
227,Captiva,160
228,Corvette,160
229,Cruze,160
230,Epica,160
231,Evanda,160
232,HHR,160
233,Kalos,160
234,Lacetti,160
235,Malibu,160
236,Matiz,160
237,Nubira,160
238,Orlando,160
239,Rezzo,160
240,Spark,160
241,Tahoe,160
242,TrailBlazer,160
243,Trans Sport,160
244,Trax,160
245,Volt,160
246,300 C,170
247,300 M,170
248,Crossfire,170
249,Shelby Daytona,170
250,ES,170
251,Grand Voyager,170
252,GS,170
253,GTS,170
254,Le Baron,170
255,Neon,170
256,New Yorker,170
257,PT Cruiser,170
258,Saratoga,170
259,Sebring,170
260,Stratus,170
261,Viper,170
262,Vision,170
263,Vogager,170
264,2CV,190
