id,id_modelo,nombre
1,1,1.4 Turbo
2,1,GT
3,2,1.4 Turbo
4,3,electric drive 114 kW
5,4,electric drive 114 kW
6,5,1.4
7,5,1.4 Turbo
8,6,1.4
9,6,1.4 Turbo
10,7,electric drive 174 kW
11,7,electric drive 207 kW
12,8,1.4
13,8,1.4 Turbo
14,9,1.4
15,9,1.4 Turbo
16,10,1.4
17,11,1.4
18,11,1.8
19,12,2.0
20,13,2.4
21,14,electric drive 150 kW
22,15,electric drive 160 kW
23,16,0.48
24,16,electric drive 6 kW
25,17,0.48
26,17,electric drive 6 kW
27,18,0.48
28,19,electric drive 6 kW
29,20,0.48
30,21,City Evo
31,21,City GTO
32,21,City Pack
33,21,City Premium
34,21,City Sport
35,21,Coupe Evo
36,21,Coupe GTI
37,21,Coupe Premium
38,21,Crossline Evo
39,21,Crossline Premium
40,21,Crossline Premium 600
41,21,e-City Pack
42,21,e-City Premium
43,21,e-Coupé GTI
44,21,e-Coupé Premium
45,22,1.8 Turbo
46,23,1.8 Turbo
47,24,4.7 V8
48,25,2.5
49,26,1.3
50,26,1.4
51,26,1.5
52,26,1.7
53,27,1.6
54,27,1.8
55,27,2.0
56,27,2.5
57,27,3.0 V6
58,28,2.0
59,28,2.4 Turbodiesel
60,28,2.5
61,29,1.4
62,29,1.6
63,29,1.7
64,29,1.8
65,29,1.9 JTD
66,29,2.0
67,29,2.0 Turbodiesel
68,30,1.4
69,30,1.6
70,30,1.7
71,30,1.8
72,30,1.9 JTD
73,30,2.0
74,30,2.0 Turbodiesel
75,31,1.6
76,31,1.9 JTD
77,31,1.9 JTDM
78,31,2.0
79,31,3.2 V6
80,32,1.6
81,32,1.7
82,32,1.8
83,32,2.0
84,32,2.0 Turbo
85,32,2.5 Turbodiesel
86,32,2.5 V6
87,33,1.6
88,33,1.8
89,33,1.9 JTD
90,33,2.0
91,33,2.0 JTS
92,33,2.4 JTD
93,33,2.5 V6
94,33,3.2 V6
95,34,1.8
96,34,1.8 Turbo
97,34,1.9 JTD
98,34,1.9 JTS
99,34,2.0 JTDM
100,34,2.2 JTS
101,34,2.4 JTD
102,34,2.4 JTDM
103,34,3.2 JTS V6
104,35,2.0
105,35,2.0 V6 Turbo
106,35,2.5 Turbodiesel
107,35,3.0 V6
108,36,2.0
109,36,2.4 JTD
110,36,2.4 JTDM
111,36,2.5 V6
112,36,3.0 V6
113,36,3.2
114,37,1.8 Turbo
115,37,2.0 JTDM
116,37,2.2 JTS
117,37,2.4 JTD
118,37,2.4 JTDM
119,37,3.2 JTS V6
120,38,1.8
121,38,1.9 JTD
122,38,1.9 JTDM
123,38,2.0 JTS
124,38,3.2
125,39,2.0
126,39,2.0 JTS
127,39,2.0 V6 Turbo
128,39,3.0 V6
129,39,3.2
130,40,1.6
131,40,1.8
132,40,1.8 Turbo
133,40,2.0
134,40,2.0 JTDM
135,40,2.0 JTS
136,40,2.2 JTS
137,40,2.4 JTD
138,40,2.4 JTDM
139,40,3.0
140,40,3.0 V6
141,40,3.2
142,40,3.2 JTS V6
143,41,2.0
144,41,2.5
145,42,2.0 Turbo
146,42,2.2 JTDM
147,42,2.9 V6 Bi-Turbo
148,43,1.4
149,43,1.4 Turbo
150,43,1.6
151,43,1.6 JTD
152,43,1.6 JTDM
153,43,1.8 Turbo
154,43,2.0
155,43,2.0 JTDM
156,44,1.2 VGT
157,44,1.2 VGT Mild-Hybrid
158,44,electric drive 115 kW
159,44,electric drive 177 kW
160,44,electric drive 207 kW
161,45,0.9 TwinAir
162,45,1.3 JTD
163,45,1.3 JTDM
164,45,1.4
165,45,1.4 Turbo
166,45,1.6 JTD
167,46,2.0 JTDM
168,46,2.0 Turbo
169,46,2.2 JTDM
170,46,2.9 V6 Bi-Turbo
171,47,1.3 Plug-in Hybrid
172,47,1.5 Mild-Hybrid
173,47,1.5 VGT
174,47,1.6 Turbodiesel
175,47,1.6 VGT-D
176,48,3.0 BiTurbo
177,48,3.0 Biturbo S
178,49,3.0 BiTurbo
179,50,4.4 BiTurbo
